2026-04-18|09:00|Water bill|City Utilities|-44.00
2026-04-19|13:00|Hardware store|Home Depot|-87.34
2026-04-20|08:30|Coffee|Starbucks|-11.25
2026-04-21|15:00|Grocery run|Aldi|-67.89
2026-04-22|10:30|Gas station|BP|-49.20
2026-04-23|12:00|Freelance payment|Client Co|500.00
2026-04-24|09:00|Parking|City Parking|-18.00
2026-04-25|14:00|Dentist|Bright Dental|-200.00
2026-04-26|11:00|Movie night|AMC Theaters|-32.50
2026-04-27|09:30|Grocery run|Whole Foods|-95.60
2026-04-28|10:00|Software subscription|Adobe|-54.99
2026-04-29|08:00|Coffee and pastry|Local Cafe|-9.80
2026-04-30|09:00|Paycheck|Employer|4500.00
2026-03-01|09:00|Monthly salary|Employer|4500.00
2026-03-01|12:00|Rent payment|Landlord|-1500.00
2026-03-02|14:00|Grocery run|Whole Foods|-121.45
2026-03-03|10:30|Electric bill|Duke Energy|-104.20
2026-03-04|08:15|Coffee|Starbucks|-10.50
2026-03-05|15:00|Gas station|Shell|-55.80
2026-03-06|12:30|Lunch|Chipotle|-13.90
2026-03-07|11:00|Freelance payment|Client Co|600.00
2026-03-08|09:00|Phone bill|Verizon|-85.00
2026-03-10|14:00|Grocery run|Trader Joes|-78.33
2026-03-12|10:00|Streaming service|Netflix|-15.99
2026-03-14|09:30|Gym membership|Planet Fitness|-24.99
2026-03-15|09:00|Bonus|Employer|500.00
2026-03-16|13:00|Dinner out|Texas Roadhouse|-54.60
2026-03-18|11:30|Pharmacy|Walgreens|-29.45
2026-03-20|10:00|Car insurance|Geico|-142.00
2026-03-22|14:30|Clothing|H&M|-89.99
2026-03-24|09:00|Grocery run|Aldi|-72.10
2026-03-26|15:00|Hardware store|Home Depot|-43.67
2026-03-28|10:30|Gas station|BP|-51.30
2026-03-30|09:00|Side project payment|Upwork|275.00
2026-02-01|09:00|Monthly salary|Employer|4500.00
2026-02-01|12:00|Rent payment|Landlord|-1500.00
2026-02-03|14:00|Grocery run|Whole Foods|-113.78
2026-02-05|10:30|Electric bill|Duke Energy|-112.90
2026-02-07|08:15|Coffee|Starbucks|-9.75
2026-02-10|15:00|Gas station|Shell|-48.60
2026-02-14|18:00|Valentines dinner|Ruth Chris Steakhouse|-187.40
2026-02-15|09:00|Freelance payment|Client Co|800.00
2026-02-18|11:00|Grocery run|Trader Joes|-94.22
2026-02-20|10:00|Streaming service|Spotify|-9.99
2026-02-22|14:00|Phone bill|Verizon|-85.00
2026-02-25|09:30|Gym membership|Planet Fitness|-24.99
2026-01-01|09:00|Monthly salary|Employer|4500.00
2026-01-01|12:00|Rent payment|Landlord|-1500.00
2026-01-03|14:00|Grocery run|Whole Foods|-98.45
2026-01-05|10:30|Electric bill|Duke Energy|-134.70
2026-01-07|15:00|Gas station|Shell|-46.20
2026-01-10|09:00|New year bonus|Employer|1500.00
2026-01-15|11:00|Freelance payment|Client Co|450.00
2025-12-25|10:00|Holiday bonus|Employer|2000.00
2025-12-20|14:00|Holiday shopping|Amazon|-342.87
2025-11-28|10:00|Black friday shopping|Best Buy|-289.99
2026-05-01|07:45:11.562177241|payday check|employer|500.0
